DATE,p_saving_rate,target,mortgage_rate,IPI_Cement,PPI_Cement,permit,PPI_Concrete,population,new_private_house,emratio,income,new_private_hw_under,GDP,home_ow_rate,house_st,total_emp_cons,labor_percent,all_Const_Emp,monthly_supply,unemployed_rate,MSPUS
1/1/2005,2.7,160.13,5.71,162.337,166.8,2139,5.056245805,294768,8131.632497,62.4,10247,1302,12767.286,69.2,2144,7095,65.8,932.1,4.4,5.3,232500
2/1/2005,2.3,161.924,5.6275,166.6182,168.8,2114,5.091293197,294955,8215.532983,62.4,10282.7,1322,12767.286,69.2,2207,7153,65.9,938,4.3,5.4,232500
3/1/2005,2.5,164.576,5.928,164.584,169,2062,5.076423035,295149,7584.942467,62.4,10347.9,1311,12767.286,69.2,1864,7181,65.9,942.5,4.1,5.2,232500
4/1/2005,2.1,166.999,5.855,160.4395,171.8,2150,5.101085197,295359,8315.365367,62.7,10412.1,1324,12922.656,68.7,2061,7266,66.1,947.9,4.3,5.2,233700
5/1/2005,2.6,169.544,5.72,164.6264,172.2,2085,5.101085197,295582,9250.194258,62.8,10464.1,1322,12922.656,68.7,2025,7294,66.1,953,4.2,5.1,233700
6/1/2005,2,172.015,5.582,164.5805,172.5,2178,5.101085197,295824,8515.676963,62.7,10498,1329,12922.656,68.7,2068,7333,66.1,958.8,4.3,5,233700
7/1/2005,1.4,174.098,5.695,157.5149,179,2203,5.101085197,296077,8100.209848,62.8,10558.3,1338,13142.642,68.7,2054,7353,66.1,964.7,4.2,5,236400
8/1/2005,2,175.923,5.82,158.9917,179.2,2219,5.101085197,296338,8447.052829,62.9,10619.6,1356,13142.642,68.7,2095,7394,66.2,964.8,4.5,4.9,236400
9/1/2005,2,177.611,5.774,160.2513,180.2,2263,5.101085197,296606,8289.072662,62.8,10687.7,1377,13142.642,68.7,2151,7415,66.1,967.6,4.7,5,236400
10/1/2005,2.3,178.752,6.065,161.7801,180.3,2170,5.101085197,296857,8499.83176,62.8,10767.3,1376,13324.204,68.9,2065,7460,66.1,972.8,4.5,5,243600
11/1/2005,2.6,179.673,6.33,166.926,180.6,2218,5.101085197,297089,8210.284667,62.7,10815.4,1395,13324.204,68.9,2147,7524,66,985.7,5,5,243600
12/1/2005,2.5,180.107,6.272,170.1105,181.3,2120,5.101694025,297311,8389.064482,62.8,10853.1,1405,13324.204,68.9,1994,7533,66,995.7,4.9,4.9,243600
1/1/2006,3,180.828,6.145,192.0322,191,2212,5.126342102,297526,8892.215571,62.9,11038.6,1424,13599.16,68.6,2273,7601,66,1008.1,5.3,4.7,247700
2/1/2006,3.2,181.5,6.2525,186.9827,191.5,2141,5.135210029,297734,8956.143746,63,11102.6,1423,13599.16,68.6,2119,7664,66.1,1012.7,6.1,4.8,247700
3/1/2006,3.3,182.749,6.324,174.864,195.3,2118,5.135210029,297950,10017.1211,63.1,11171.8,1423,13599.16,68.6,1969,7689,66.2,1017.8,5.9,4.7,247700
4/1/2006,3.1,183.648,6.5075,165.8735,196.7,1998,5.138148614,298170,9078.902254,63,11229.5,1401,13753.424,68.8,1821,7726,66.1,1022,6.3,4.7,246300
5/1/2006,2.9,184.38,6.5975,160.6514,197.6,1905,5.138148614,298401,8157.834744,63.1,11251.1,1409,13753.424,68.8,1942,7713,66.1,1016.6,6.2,4.6,246300
6/1/2006,2.9,184.547,6.682,161.3281,197.8,1867,5.138148614,298653,8966.806446,63.1,11292.8,1383,13753.424,68.8,1802,7699,66.2,1007.8,6.3,4.6,246300
7/1/2006,2.3,184.608,6.7625,152.8727,199.4,1763,5.138148614,298910,8352.200296,63,11322.1,1363,13870.188,68.9,1737,7712,66.1,1007.3,7.3,4.7,235600
8/1/2006,2.5,184.405,6.524,153.7995,200,1722,5.138148614,299178,8053.116993,63.1,11346.8,1339,13870.188,68.9,1650,7720,66.2,1009.2,6.7,4.7,235600
9/1/2006,2.4,184.198,6.4025,149.9671,201,1655,5.138148614,299452,8759.297612,63.1,11383.9,1317,13870.188,68.9,1720,7718,66.1,1011.6,6.7,4.5,235600
10/1/2006,2.4,184.054,6.3575,151.0867,201,1570,5.138148614,299710,8268.049296,63.3,11417.8,1283,14039.56,68.8,1491,7682,66.2,1005.8,7.3,4.4,245400
11/1/2006,2.7,183.631,6.24,153.3176,200.9,1535,5.138148614,299950,8136.871733,63.3,11479.3,1265,14039.56,68.8,1570,7666,66.3,996,6.6,4.5,245400
12/1/2006,2.6,183.229,6.135,167.7527,200.8,1638,5.138148614,300178,8110.681632,63.4,11587.6,1247,14039.56,68.8,1649,7685,66.4,989.5,6.5,4.4,245400
1/1/2007,2.4,182.718,6.2175,159.9997,206.3,1626,5.161351511,300398,7766.409942,63.3,11647.1,1217,14215.651,68.5,1409,7725,66.4,982.5,7.2,4.6,257400
2/1/2007,2.8,182.471,6.285,153.1247,204.3,1598,5.162497643,300608,6831.41843,63.3,11734.2,1206,14215.651,68.5,1480,7626,66.3,977.3,7.9,4.5,257400
3/1/2007,3,182.194,6.156,154.2676,205.1,1596,5.174453379,300823,6745.204022,63.3,11821.4,1192,14215.651,68.5,1495,7706,66.2,973.2,7.9,4.4,257400
4/1/2007,3,182.131,6.18,152.5383,210,1470,5.244389025,301045,6322.139369,63,11868.1,1181,14402.082,68.3,1490,7686,65.9,966.8,7.4,4.5,242200
5/1/2007,2.8,181.884,6.262,154.5282,209.3,1493,5.244389025,301278,6307.121793,63,11908.7,1164,14402.082,68.3,1415,7673,66,965.1,7.8,4.4,242200
6/1/2007,2.7,181.54,6.6575,149.986,208.3,1407,5.244389025,301528,6032.949611,63,11929.2,1161,14402.082,68.3,1448,7687,66,964,8.2,4.6,242200
7/1/2007,2.6,180.993,6.695,150.4928,208.8,1361,5.244389025,301790,6297.113648,62.9,11955.7,1144,14564.117,68,1354,7660,66,954.4,8.3,4.7,241800
8/1/2007,2.2,180.234,6.572,149.1233,208.3,1321,5.244389025,302064,6187.213554,62.7,11963.1,1123,14564.117,68,1330,7610,65.8,942.1,9.2,4.6,241800
9/1/2007,2.3,179.122,6.3825,149.8047,210.7,1261,5.244389025,302334,5418.209748,62.9,12025.5,1108,14564.117,68,1183,7577,66,936.5,9.2,4.7,241800
10/1/2007,2.2,177.53,6.375,147.7916,210.2,1192,5.24491659,302590,5657.768049,62.7,12046.8,1096,14715.058,67.8,1264,7565,65.8,921.6,8.5,4.7,238400
11/1/2007,1.9,175.162,6.208,151.5488,210.1,1224,5.24491659,302834,5584.236165,62.9,12102.8,1080,14715.058,67.8,1197,7523,66,895,9.4,4.7,238400
12/1/2007,2.4,173.338,6.095,145.0394,209.1,1149,5.24491659,303062,5282.165014,62.7,12182.7,1059,14715.058,67.8,1037,7490,66,896.4,9.6,5,238400
1/1/2008,2.6,171.077,5.758,148.6468,208.5,1094,5.247024072,303280,5296.711396,62.9,12227.8,1041,14706.538,67.9,1084,7476,66.2,886.6,9.3,5,233900
2/1/2008,3,169.191,5.9175,145.2225,208.9,1014,5.247024072,303494,5021.574692,62.8,12264.9,1025,14706.538,67.9,1103,7453,66,874.5,9.7,4.9,233900
3/1/2008,2.9,167.904,5.97,141.695,208.9,967,5.247024072,303707,4644.708414,62.7,12314.7,1014,14706.538,67.9,1005,7406,66.1,867.3,10.25,5.1,233900
4/1/2008,2.4,167.324,5.9175,141.7131,210.4,1008,5.247024072,303926,3838.790608,62.7,12302.6,1009,14865.701,68.1,1013,7327,65.9,854.6,10.25,5,235300
5/1/2008,6.8,167.021,6.036,137.6036,207.7,995,5.243333058,304157,4394.898539,62.5,12879.3,991,14865.701,68.1,973,7274,66.1,840.8,10.25,5.4,235300
6/1/2008,4.6,166.537,6.32,134.7346,204.1,1180,5.243333058,304396,4394.898539,62.4,12661,975,14865.701,68.1,1046,7213,66.1,824.8,10.25,5.6,235300
7/1/2008,3.6,165.713,6.426,135.0042,207.9,921,5.245443877,304646,4138.338301,62.2,12514.8,955,14898.999,67.7,923,7160,66.1,812.7,10.25,5.8,226500
8/1/2008,3.1,164.277,6.4775,126.4443,207.9,858,5.25593165,304903,3815.917768,62,12426,936,14898.999,67.7,844,7114,66.1,800.3,10.25,6.1,226500
9/1/2008,3.9,161.912,6.0375,122.5937,207.5,797,5.258536497,305158,4479.460452,61.9,12445,904,14898.999,67.7,820,7044,66,782.5,10.25,6.1,226500
10/1/2008,4.9,159.163,6.2,118.4615,207.8,736,5.288771954,305403,3990.362711,61.7,12446.5,876,14608.209,67.5,777,6967,66,766.4,10.25,6.5,222500
11/1/2008,6,156.072,6.0875,110.4791,207.3,626,5.288771954,305620,4087.362474,61.4,12387.1,842,14608.209,67.5,652,6813,65.9,747.5,10.25,6.8,222500
12/1/2008,5.8,152.545,5.286,103.7368,206.9,554,5.288771954,305827,3834.214073,61,12238.5,806,14608.209,67.5,560,6701,65.8,732.4,10.25,7.3,222500
1/1/2009,5.9,149.363,5.0475,95.2495,211.1,545,5.288771954,306035,2748.952699,60.6,12125.6,783,14430.902,67.4,490,6567,65.7,712.1,10.25,7.8,208400
2/1/2009,5.4,147.618,5.13,97.6872,207.2,558,5.288771954,306237,2931.035291,60.3,12007.4,756,14430.902,67.4,582,6446,65.8,688.8,10.25,8.3,208400
3/1/2009,5.8,146.515,5.0025,86.881,205.1,513,5.288771954,306438,3018.470038,59.9,11965.3,717,14430.902,67.4,505,6291,65.6,667.1,10.25,8.7,208400
4/1/2009,6.5,146.943,4.81,81.9703,209.5,521,5.288771954,306645,3049.180866,59.8,12009.4,677,14381.236,67.4,478,6154,65.7,655.8,10.25,9,220900
5/1/2009,7.8,148.169,4.8575,78.8737,207.6,556,5.288267031,306863,2926.675734,59.6,12179.6,650,14381.236,67.4,540,6100,65.7,643.9,9.3,9.4,220900
6/1/2009,6.1,149.797,5.42,78.7749,204.9,601,5.288267031,307090,2835.3966,59.4,12042.9,627,14381.236,67.4,585,6010,65.7,634.9,8.5,9.5,220900
7/1/2009,5.4,150.749,5.222,79.6953,203.1,595,5.288267031,307322,2835.3966,59.3,11998.4,611,14448.882,67.4,594,5932,65.5,629.1,7.9,9.5,214300
8/1/2009,4.4,150.669,5.1925,77.1998,202.1,616,5.288267031,307570,2813.740555,59.1,12011.2,588,14448.882,67.4,586,5855,65.4,620.8,7.5,9.6,214300
9/1/2009,5.5,149.628,5.0575,76.367,201.9,609,5.288267031,307826,2509.529548,58.7,12061.1,576,14448.882,67.4,585,5787,65.1,612.8,7.8,9.6,214300
10/1/2009,5.1,148.585,4.952,67.7512,200.6,583,5.288267031,308071,2615.929475,58.5,12069.4,554,14651.249,67.2,534,5716,65,606.4,7.4,9.6,219000
11/1/2009,5.5,147.939,4.875,74.3749,199.9,623,5.288267031,308289,3040.400639,58.6,12129.6,532,14651.249,67.2,588,5696,65,602.3,7.6,9.6,219000
12/1/2009,5.4,146.664,4.93,69.8002,198.5,664,5.288267031,308495,2633.026798,58.3,12188.2,517,14651.249,67.2,581,5654,64.6,596.2,8,9.6,219000
1/1/2010,5.6,145.003,5.03,68.4778,198.4,636,5.285738584,308706,2374.516286,58.5,12267.7,501,14764.61,67.2,614,5580,64.8,583.1,8.1,9.6,222900
2/1/2010,5.3,143.053,4.99,66.3508,197.9,650,5.285738584,308904,2294.996062,58.5,12267.6,493,14764.61,67.2,604,5500,64.9,578.3,8.3,9.6,222900
3/1/2010,5.3,143.597,4.9675,74.3844,196.3,687,5.285738584,309095,2149.80941,58.5,12330.9,492,14764.61,67.2,636,5537,64.9,580.3,7.1,9.6,222900
4/1/2010,6,145.404,5.098,83.5931,194.6,637,5.283203729,309289,2577.534047,58.7,12441.8,488,14980.193,66.9,687,5553,65.2,579.8,6.2,9.6,219500
5/1/2010,6.4,147.04,4.8875,81.0539,193.3,575,5.283203729,309485,2429.20325,58.6,12543.7,476,14980.193,66.9,583,5520,64.9,578.1,9.3,9.6,219500
6/1/2010,6.2,147.706,4.7375,79.9611,192.3,587,5.283203729,309691,3261.25292,58.5,12550.7,447,14980.193,66.9,536,5516,64.6,577.2,8.3,9.4,219500
7/1/2010,6.1,147.566,4.564,78.0626,191.7,579,5.283203729,309913,1892.920459,58.5,12588.7,443,15141.607,66.7,546,5508,64.6,570.2,8.9,9.4,224100
8/1/2010,6.2,146.431,4.4275,80.8866,191.5,580,5.283203729,310146,1973.832493,58.6,12652.9,444,15141.607,66.7,599,5524,64.7,568.7,8.8,9.5,224100
9/1/2010,6.1,144.612,4.346,80.733,190.8,563,5.283203729,310385,2137.444914,58.5,12673.4,439,15141.607,66.7,594,5501,64.6,568,7.6,9.5,224100
10/1/2010,5.9,143.133,4.225,82.9329,190,558,5.283203729,310612,2026.748711,58.3,12723.6,436,15309.474,66.5,543,5508,64.4,563.3,8.2,9.4,224300
11/1/2010,5.8,141.823,4.3,82.6805,188.5,560,5.283203729,310820,1812.625992,58.2,12765.5,431,15309.474,66.5,545,5506,64.6,560.8,8.2,9.6,224300
12/1/2010,6.2,140.632,4.714,80.3226,187.9,632,5.283203729,311020,1864.746282,58.3,12873.1,427,15309.474,66.5,539,5467,64.3,559.7,7,9.3,224300
1/1/2011,6.6,139.04,4.755,79.0521,185.8,576,5.283203729,311204,1685.483171,58.3,13080.7,431,15351.448,66.5,630,5427,64.2,556.9,7.3,9.1,226900
2/1/2011,6.9,137.735,4.9525,82.803,185.4,542,5.283203729,311373,2067.623655,58.4,13155.6,424,15351.448,66.5,517,5451,64.1,559,8.1,9,226900
3/1/2011,6.3,137.788,4.836,80.3605,186.5,583,5.283203729,311551,1969.77248,58.4,13178.2,420,15351.448,66.5,600,5477,64.2,562.4,7.2,9,226900
4/1/2011,6.3,139.16,4.84,80.2154,189,581,5.283203729,311740,1800.636146,58.4,13212.8,417,15557.539,66,554,5485,64.2,563.5,6.7,9.1,228100
5/1/2011,6.3,140.694,4.6375,83.0405,188,618,5.297316866,311935,1800.636146,58.3,13239.1,415,15557.539,66,561,5516,64.1,560.1,6.6,9,228100
6/1/2011,6.5,141.946,4.51,85.5086,186.9,636,5.297316866,312147,1921.17028,58.2,13295.7,416,15557.539,66,608,5528,64,567.5,6.6,9.1,228100
7/1/2011,6.7,142.343,4.545,86.6224,188.6,621,5.297316866,312372,2145.686486,58.2,13375.8,417,15647.68,66.1,623,5547,64,565.1,6.7,9,223500
8/1/2011,6.7,141.787,4.27,88.4423,187.8,647,5.297316866,312605,2063.529564,58.3,13400.3,414,15647.68,66.1,585,5552,64.1,564.4,6.5,9,223500
9/1/2011,6.4,140.169,4.106,87.5078,189.3,610,5.297316866,312842,2018.591394,58.4,13401.5,417,15647.68,66.1,650,5584,64.2,565.6,6.3,9,223500
10/1/2011,6.3,138.411,4.0675,88.3034,180.8,671,5.300315369,313060,1868.766505,58.4,13406.4,422,15842.259,65.9,610,5588,64.1,571.7,6,8.8,221100
11/1/2011,6.4,136.667,3.9925,87.7571,181.9,706,5.300315369,313260,1945.444075,58.6,13419.7,433,15842.259,65.9,711,5593,64.1,571.9,5.7,8.6,221100
12/1/2011,7.2,135.168,3.958,92.3676,182.5,697,5.299816243,313454,2047.16783,58.6,13548.9,434,15842.259,65.9,694,5611,64,575,5.3,8.5,221100
1/1/2012,7.4,134.168,3.915,95.8403,185.4,712,5.299816243,313636,1784.67201,58.4,13631.6,441,16068.805,65.6,723,5626,63.7,575.2,5.3,8.3,238400
2/1/2012,7.3,133.997,3.89,95.3474,185.8,738,5.299816243,313811,1848.680993,58.5,13731.1,450,16068.805,65.6,704,5629,63.8,576.8,4.8,8.3,238400
3/1/2012,7.6,135.865,3.954,93.6095,185.2,806,5.299816243,313993,1933.300324,58.5,13798.5,458,16068.805,65.6,695,5625,63.8,573,4.9,8.2,238400
4/1/2012,7.9,138.471,3.91,94.8689,187.2,732,5.299816243,314176,2299.169148,58.4,13868.1,463,16207.115,65.6,753,5618,63.7,572,4.9,8.2,238700
5/1/2012,7.9,141.048,3.798,92.7701,188.7,796,5.307277108,314368,2112.754533,58.5,13850.3,474,16207.115,65.6,708,5604,63.7,574,4.7,8.2,238700
6/1/2012,7.9,143.169,3.675,91.4465,188.8,794,5.306781445,314576,2108.644495,58.6,13837.1,486,16207.115,65.6,757,5621,63.8,576.2,4.8,8.2,238700
7/1/2012,7,144.282,3.55,90.0581,188.3,849,5.306781445,314796,2320.054996,58.5,13752.9,490,16319.541,65.4,740,5632,63.7,583.4,4.6,8.2,248800
8/1/2012,6.7,144.705,3.602,90.1465,189,840,5.306781445,315031,2353.542747,58.4,13768.5,495,16319.541,65.4,754,5648,63.5,584.8,4.6,8.1,248800
9/1/2012,7.2,144.358,3.4975,89.7802,189.1,930,5.306781445,315264,2220.115427,58.7,13914.1,511,16319.541,65.4,847,5661,63.6,586.5,4.5,7.8,248800
10/1/2012,7.8,143.968,3.3825,91.4772,188.8,887,5.306781445,315485,2547.741841,58.8,14049.2,520,16420.419,65.3,915,5674,63.8,582.7,4.9,7.8,251700
11/1/2012,8.7,143.961,3.352,95.9137,189.1,917,5.306781445,315692,2286.653984,58.7,14230.7,534,16420.419,65.3,833,5684,63.6,590.9,4.6,7.7,251700
12/1/2012,10.9,143.869,3.345,96.1474,188.3,941,5.306781445,315877,2324.236238,58.7,14581.4,551,16420.419,65.3,976,5724,63.7,594.7,4.5,7.9,251700
1/1/2013,4.9,144.313,3.414,98.907,194.7,940,5.310245937,316038,2479.881002,58.6,13880.4,559,16648.189,65.2,888,5746,63.7,595.6,4,8,258400
2/1/2013,4.7,145.163,3.5325,100.6487,194.4,980,5.310245937,316191,2543.490907,58.6,13902,581,16648.189,65.2,962,5784,63.4,597.9,4.1,7.7,258400
3/1/2013,4.8,147.962,3.565,100.5747,194.6,936,5.310245937,316357,2917.960125,58.5,13932.2,596,16648.189,65.2,1010,5802,63.3,601.9,4.2,7.5,258400
4/1/2013,5.1,150.969,3.445,95.5687,196.2,1012,5.322033893,316535,2471.421657,58.6,13974.9,606,16728.687,65.1,835,5796,63.4,607.6,4.4,7.6,268100
5/1/2013,5.3,153.86,3.536,99.5607,197.5,1003,5.322033893,316729,2454.518595,58.6,14052.5,620,16728.687,65.1,930,5829,63.4,610.4,4.6,7.5,268100
6/1/2013,5.4,156.428,4.07,101.1157,197.5,942,5.322033893,316934,2573.274206,58.6,14083.9,629,16728.687,65.1,839,5855,63.4,610.8,4.1,7.5,268100
7/1/2013,5.2,158.288,4.37,101.9294,197.2,997,5.322033893,317156,2779.153235,58.7,14072,640,16953.838,65.2,880,5859,63.3,610.6,5.5,7.3,264800
8/1/2013,5.2,159.396,4.456,103.143,197.7,964,5.312220272,317397,2697.319195,58.7,14117.3,654,16953.838,65.2,917,5878,63.3,613.8,5.5,7.2,264800
9/1/2013,5.3,159.675,4.49,105.1505,197.6,1004,5.312220272,317635,2744.64319,58.7,14181.7,661,16953.838,65.2,850,5910,63.2,615.1,5.4,7.2,264800
10/1/2013,4.7,159.558,4.192,103.4174,197.9,1044,5.312220272,317864,2852.742899,58.3,14152.3,670,17192.019,65.1,925,5931,62.8,621.2,4.9,7.2,273600
11/1/2013,4.5,159.365,4.255,100.2048,198,1029,5.312220272,318076,3018.470038,58.6,14209.6,687,17192.019,65.1,1100,5963,63,625.8,5,6.9,273600
12/1/2013,4.5,159.282,4.4575,99.2019,197.4,1005,5.312220272,318276,2753.263423,58.7,14266.5,707,17192.019,65.1,1002,5932,62.9,628.6,5.2,6.7,273600
1/1/2014,5.2,159.37,4.432,96.8279,200.8,976,5.33753808,318464,3014.087349,58.8,14369.2,713,17197.738,64.9,888,5985,62.9,632.4,5.1,6.6,275200
2/1/2014,5.3,159.872,4.3025,96.6639,199.2,1039,5.33753808,318642,3181.425819,58.7,14456.4,714,17197.738,64.9,944,6007,62.9,641.6,5.3,6.7,275200
3/1/2014,5.2,161.189,4.3425,98.2095,199.3,1067,5.33753808,318827,3256.808765,58.9,14555,726,17197.738,64.9,970,6038,63.1,642.4,5.6,6.7,275200
4/1/2014,5.4,162.969,4.3375,99.8622,207,1090,5.33753808,319020,2996.568068,58.9,14624.5,743,17518.508,64.8,1043,6084,62.8,650.5,5.7,6.2,288000
5/1/2014,5.6,164.684,4.192,103.247,207.1,1018,5.33753808,319225,3247.923728,58.9,14689.5,754,17518.508,64.8,1007,6109,62.9,650,5.2,6.3,288000
6/1/2014,5.6,166.214,4.1625,102.0049,207,1010,5.33753808,319438,2848.40454,59,14760.1,771,17518.508,64.8,911,6133,62.8,657.1,5.7,6.1,288000
7/1/2014,5.5,167.138,4.13,104.798,207,1076,5.33753808,319670,3018.470038,59,14821.1,790,17804.228,64.3,1085,6178,62.9,665.1,6.2,6.2,281000
8/1/2014,5.3,167.452,4.115,103.4822,207.8,1047,5.33753808,319919,3323.585102,59,14894.2,793,17804.228,64.3,984,6210,62.9,669.8,5.4,6.1,281000
9/1/2014,5.5,167.243,4.1625,106.4102,208.8,1077,5.33753808,320166,3624.768179,59.1,14951.2,797,17804.228,64.3,1023,6242,62.8,677.3,5.4,5.9,281000
10/1/2014,5.4,166.911,4.036,107.4771,210.5,1094,5.33753808,320403,3377.180769,59.3,15022.7,806,17912.079,63.9,1074,6259,62.9,674.1,5.3,5.7,298900
11/1/2014,5.6,166.659,3.9975,99.994,210.3,1059,5.33753808,320616,3123.995722,59.2,15094,814,17912.079,63.9,1001,6272,62.9,676.7,5.7,5.8,298900
12/1/2014,6,166.461,3.864,107.8144,210,1072,5.338018733,320815,3534.372532,59.3,15170.9,826,17912.079,63.9,1073,6293,62.8,672.6,5.1,5.6,298900
1/1/2015,6.3,166.251,3.67,108.0196,217.3,1049,5.343290732,320997,3529.863564,59.3,15230.8,830,18063.529,63.8,1085,6320,62.9,680.1,4.8,5.7,289200
2/1/2015,6.4,166.633,3.71,98.3234,217.7,1127,5.343290732,321164,3123.995722,59.2,15313.3,830,18063.529,63.8,886,6361,62.7,680.4,4.5,5.5,289200
